trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
298,False,"{'a': 0.6, 'e': 0.5521144043069306}",30,0,-111.30778501394582,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
299,False,"{'a': 0.6, 'e': 0.5510112789913407}",25,0,-8.923404699930018,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
300,False,"{'a': 0.6, 'e': 0.5499103577216016}",25,1,-73.84077446753781,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 1}",1
301,False,"{'a': 0.6, 'e': 0.5488116360940265}",20,7,-23.638636633395063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
302,False,"{'a': 0.6, 'e': 0.5477151097137275}",30,2,-154.88936220373188,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 3}",1
303,False,"{'a': 0.6, 'e': 0.5466207741945976}",30,24,14.197796286918955,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.6, 'e': 0.5455286251592933}",20,7,-22.084479920487247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
305,False,"{'a': 0.6, 'e': 0.5444386582392171}",20,2,-25.2484944073295,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
306,False,"{'a': 0.6, 'e': 0.5433508690744998}",30,0,-129.6615065097142,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
307,False,"{'a': 0.6, 'e': 0.5422652533139832}",30,8,-145.66891128291587,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 2}",1
308,False,"{'a': 0.6, 'e': 0.5411818066152029}",20,14,0.19789627813162336,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.6, 'e': 0.5401005246443706}",20,0,-95.52209217320708,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
310,False,"{'a': 0.6, 'e': 0.539021403076357}",30,0,-147.78607161475696,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",1
311,False,"{'a': 0.6, 'e': 0.5379444375946745}",35,0,-152.3602433719856,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
312,False,"{'a': 0.6, 'e': 0.5368696238914595}",20,9,-21.74252033961413,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
313,False,"{'a': 0.6, 'e': 0.535796957667456}",30,21,-38.759719734978404,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
